X	CH1	CH2
0.001116	0.144	-1.84
0.00112	0.056	-1.36
0.001124	-0.04	-0.56
0.001128	-0.128	0.32
0.001132	-0.2	1.04
0.001136	-0.24	1.6
0.00114	-0.248	1.84
0.001144	-0.208	1.92
0.001148	-0.144	1.84
0.001152	-0.056	1.44
0.001156	0.032	0.72
0.00116	0.136	-0.16
0.001164	0.216	-0.96
0.001168	0.256	-1.6
0.001172	0.272	-1.84
0.001176	0.256	-2
0.00118	0.208	-2
0.001184	0.12	-1.76
0.001188	0.024	-1.12
0.001192	-0.0799	-0.24
0.001196	-0.152	0.56
